Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-03-27,2555.87,2615.91,2520.02,2541.47,3441294444
2020-03-30,2558.98,2631.8,2545.28,2626.65,3192344444
2020-03-31,2614.69,2641.39,2571.15,2584.59,3649050000
2020-04-01,2498.08,2522.75,2447.49,2470.5,3304388889
2020-04-02,2458.54,2533.22,2455.79,2526.9,3586105556
2020-04-03,2514.92,2538.18,2459.96,2488.65,3381772222
2020-04-06,2578.28,2676.85,2574.57,2663.68,3551033333
2020-04-07,2738.65,2756.89,2657.67,2659.41,3911511111
2020-04-08,2685,2760.75,2663.3,2749.98,3253538889
2020-04-09,2776.99,2818.57,2762.36,2789.82,4377855556
2020-04-13,2782.46,2782.46,2721.17,2761.63,2930172222
2020-04-14,2805.1,2851.85,2805.1,2846.06,3093000000
2020-04-15,2795.64,2801.88,2761.54,2783.36,2890772222
2020-04-16,2799.34,2806.51,2764.32,2799.55,2877772222
2020-04-17,2842.43,2879.22,2830.88,2874.56,3217855556
2020-04-20,2845.62,2868.98,2820.43,2823.16,2900088889
2020-04-21,2784.81,2785.54,2727.1,2736.56,2819905556
2020-04-22,2787.89,2815.1,2775.95,2799.31,2805366667
2020-04-23,2810.42,2844.9,2794.26,2797.8,3198066667
2020-04-24,2812.64,2842.71,2791.76,2836.74,2985822222
2020-04-27,2854.65,2887.72,2852.89,2878.48,2885700000
2020-04-28,2909.96,2921.15,2860.71,2863.39,3151600000
2020-04-29,2918.46,2954.86,2912.16,2939.51,3677855556
2020-04-30,2930.91,2930.91,2892.47,2912.43,3623955556
2020-05-01,2869.09,2869.09,2821.61,2830.71,2640644444
2020-05-04,2815.01,2844.24,2797.85,2842.74,2623966667
2020-05-05,2868.88,2898.23,2863.55,2868.44,2849772222
2020-05-06,2883.14,2891.11,2847.65,2848.42,2701066667
2020-05-07,2878.26,2901.92,2876.48,2881.19,2869244444
2020-05-08,2908.83,2932.16,2902.88,2929.8,2698422222
2020-05-11,2915.46,2944.25,2903.44,2930.19,2596977372
2020-05-12,2939.5,2945.82,2869.59,2870.12,2661481924
2020-05-13,2865.86,2874.14,2793.15,2820,3538682040
2020-05-14,2794.54,2852.8,2766.64,2852.5,3342014465
2020-05-15,2829.95,2865.01,2816.78,2863.7,3291068217
2020-05-18,2913.86,2968.09,2913.86,2953.91,3637568897
2020-05-19,2948.59,2964.21,2922.35,2922.94,2852880746
2020-05-20,2953.63,2980.29,2953.63,2971.61,2845135067
2020-05-21,2969.95,2978.5,2938.57,2948.51,2778169917
2020-05-22,2948.05,2956.76,2933.59,2955.45,2184181839
2020-05-26,3004.08,3021.72,2988.17,2991.77,3349414121
2020-05-27,3015.65,3036.25,2969.75,3036.13,3652902255
2020-05-28,3046.61,3068.67,3023.4,3029.73,3136898114
2020-05-29,3025.17,3049.17,2998.61,3044.31,4372835504
2020-06-01,3038.78,3062.18,3031.54,3055.73,2494242374
2020-06-02,3064.78,3081.07,3051.64,3080.82,2800242756
2020-06-03,3098.9,3130.94,3098.9,3122.87,3152227961
2020-06-04,3111.56,3128.91,3090.41,3112.35,3731253343
2020-06-05,3163.84,3211.72,3163.84,3193.93,4794161515
2020-06-08,3199.92,3233.13,3196,3232.39,3706403397
2020-06-09,3213.32,3222.71,3193.11,3207.18,3172476044
2020-06-10,3213.42,3223.27,3181.49,3190.14,3577280352
2020-06-11,3123.53,3123.53,2999.49,3002.1,4119364753
2020-06-12,3071.04,3088.42,2984.47,3041.31,3379014946
2020-06-15,2993.76,3079.76,2965.66,3066.59,3208285727
2020-06-16,3131,3153.45,3076.06,3124.74,3290522357
2020-06-17,3136.13,3141.16,3108.03,3113.49,2482661567
2020-06-18,3101.64,3120,3093.51,3115.34,2406434155
2020-06-19,3140.29,3155.53,3083.11,3097.74,4998415138
2020-06-22,3094.42,3120.92,3079.39,3117.86,2572599763
2020-06-23,3138.7,3154.9,3127.12,3131.29,2736647372
2020-06-24,3114.4,3115.01,3032.13,3050.33,3216148237
2020-06-25,3046.6,3086.25,3024.01,3083.76,2738077000
2020-06-26,3073.2,3073.73,3004.63,3009.05,4393618253
2020-06-29,3018.59,3053.89,2999.74,3053.24,2650231761
2020-06-30,3050.2,3111.51,3047.83,3100.29,2762700300
2020-07-01,3105.92,3128.44,3101.17,3115.86,2709350469
2020-07-02,3143.64,3165.81,3124.52,3130.01,2332622404
2020-07-06,3155.29,3182.59,3155.29,3179.72,2384007094
2020-07-07,3166.44,3184.15,3142.93,3145.32,2286066876
2020-07-08,3153.07,3171.8,3136.53,3169.94,2397542535
2020-07-09,3176.17,3179.78,3115.7,3152.05,2595438819
2020-07-10,3152.47,3186.82,3136.22,3185.04,2408266859
2020-07-13,3205.08,3235.32,3149.43,3155.22,2694338924
2020-07-14,3141.11,3200.95,3127.66,3197.52,2638225293
2020-07-15,3225.98,3238.28,3200.76,3226.56,2849504498
2020-07-16,3208.36,3220.39,3198.59,3215.57,2214117696
2020-07-17,3224.21,3233.52,3205.65,3224.73,2219964739
2020-07-20,3224.29,3258.61,3215.16,3251.84,2171304615
2020-07-21,3268.52,3277.29,3247.77,3257.3,2470338671
2020-07-22,3254.86,3279.32,3253.1,3276.02,2418091343
2020-07-23,3271.64,3279.99,3222.66,3235.66,2742056465
2020-07-24,3218.58,3227.26,3200.05,3215.63,2460505182
2020-07-27,3219.84,3241.43,3214.25,3239.41,2355871031
2020-07-28,3234.27,3243.72,3216.17,3218.44,2244363387
2020-07-29,3227.22,3264.74,3227.22,3258.44,2471114054
2020-07-30,3231.76,3250.92,3204.13,3246.22,2436861309
2020-07-31,3270.45,3272.17,3220.26,3271.12,3062620493
2020-08-03,3288.26,3302.73,3284.53,3294.61,2379546705
2020-08-04,3289.92,3306.84,3286.37,3306.51,2403695283
2020-08-05,3317.37,3330.77,3317.37,3327.77,2452040105
2020-08-06,3323.17,3351.03,3318.14,3349.16,2414075395
2020-08-07,3340.05,3352.54,3328.72,3351.28,2279160879
2020-08-10,3356.04,3363.29,3335.44,3360.47,2565981272
2020-08-11,3370.34,3381.01,3326.44,3333.69,2901184692
2020-08-12,3355.46,3387.89,3355.46,3380.35,2245860113
2020-08-13,3372.95,3387.24,3363.35,3373.43,1964649318
2020-08-14,3368.66,3378.51,3361.64,3372.85,1713105900
2020-08-17,3380.86,3387.59,3379.22,3381.99,1951363148
2020-08-18,3387.04,3395.06,3370.15,3389.78,1795551606
2020-08-19,3392.51,3399.54,3369.66,3374.85,2021428535
2020-08-20,3360.48,3390.8,3354.69,3385.51,1835659390
2020-08-21,3386.01,3399.96,3379.31,3397.16,1993642443
2020-08-24,3418.09,3432.09,3413.13,3431.28,2275646060
2020-08-25,3435.95,3444.21,3425.84,3443.62,2042901658
2020-08-26,3449.97,3481.07,3444.15,3478.73,2020851527
2020-08-27,3485.14,3501.38,3468.35,3484.55,2327431654
2020-08-28,3494.69,3509.23,3484.32,3508.01,2047770541
